id,description,nodes,edges,s_abs,s_rel,c_abs,c_rel
1,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C(-C)=O)=O,29,31,8,17.021276,0,0.0
2,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-c1:c:c:c:c:c:1)=O,33,36,10,21.276596,0,0.0
3,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-C)=O,28,30,12,25.531916,0,0.0
4,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C(-C)=O)=O,29,31,8,17.021276,0,0.0
5,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-c1:c:c:c:c:c:1)=O,33,36,10,21.276596,0,0.0
6,S(-C)-c1:c(:c:c2-C(-C-C-c3:c(-c:2:c:c:1):c(-O-C):c(-O-C):c(-O-C):c:3)-N-C-C)=O,28,30,12,25.531916,0,0.0
7,s1:c(-c2:c:c:c(-N):c:c:2):n:c2:c:c:c:c:c:2:1,16,18,11,23.404255,0,0.0
8,s1:c(-c(:c:c:c:c):c):n:c2:c:c:c:c:c:2:1,15,16,13,27.659575,0,0.0
9,s1:c(-c:c:c:c:c:c):n:c2:c:c:c:c:c:2:1,15,16,13,27.659575,0,0.0
10,N(-C-C)-C(-C)-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,19,19,13,27.659575,0,0.0
11,N(-C-C)-C(-C)-C-C-C,8,7,14,29.787233,0,0.0
12,N(-C)-C(-C-C-C)-c(:c(-C):c:c):c:c,13,12,13,27.659575,0,0.0
13,N(-C)-C(-C-C-C)-c(:c(-C):c):c:c:c,13,12,13,27.659575,0,0.0
14,N(-C)-C(-C-C-C)-c(:c(-C):c:c:c):c,13,12,13,27.659575,0,0.0
15,N(-C)-C(-C-C-C)-c(:c-C):c:c:c:c,13,12,13,27.659575,0,0.0
16,N(-C)-C(-C-C-C)-c:c(-C):c:c:c:c,13,12,13,27.659575,0,0.0
17,N(-C)-C(-C)-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,18,18,14,29.787233,0,0.0
18,N(-C)-C(-C)-C-C-C,7,6,16,34.042553,0,0.0
19,N(-C)-C(-C)=O,5,4,9,19.148935,0,0.0
20,N(-C-c1:c:c:c:c:c:1)-C-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,23,24,11,23.404255,0,0.0
21,N(-C-c(:c:c:c):c:c)-C-C-C-C,12,11,13,27.659575,0,0.0
22,N(-C-c(:c:c:c:c):c)-C-C-C-C,12,11,13,27.659575,0,0.0
23,N(-C-c:c:c:c:c:c)-C-C-C-C,12,11,13,27.659575,0,0.0
24,N(-C-C)-C-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,18,18,15,31.914894,0,0.0
25,N(-C)-C-C-C-c1:c:c(-O-C):c(-O-C):c(-O-C):c:1,17,17,17,36.17021,0,0.0
26,N(-C)-C-C-C-C,6,5,18,38.29787,0,0.0
27,N(-C)-C-C-C,5,4,20,42.553192,0,0.0
28,N(-C)-C-c1:c:c:c:c:c:1,9,9,12,25.531916,0,0.0
29,N(-C)-C-c(:c:c:c):c:c,9,8,14,29.787233,0,0.0
30,N(-C)-C-c(:c:c:c:c):c,9,8,14,29.787233,0,0.0
31,N(-C)-C-c:c:c:c:c:c,9,8,14,29.787233,0,0.0
32,N(-C)-C-C,4,3,21,44.68085,0,0.0
